Time,Floor,Event,LiftDirection,PassengersInLift
5,1,Lift updated state to MovingUp,Up,
15,2,Lift arrived at floor 2,Up,
15,2,Lift updated state to Collecting,Up,
20,2,Passenger ID 1 collection completed,Up,1
20,2,Lift updated state to MovingDown,Down,1
30,1,Lift arrived at floor 1,Down,1
30,1,Lift updated state to Dropping,Down,1
35,1,Passenger ID 1 drop off completed,Down,
35,1,Lift updated state to Collecting,Down,
40,1,Passenger ID 2 collection completed,Down,2
40,1,Lift updated state to MovingUp,Up,2
50,2,Lift arrived at floor 2,Up,2
60,3,Lift arrived at floor 3,Up,2
70,4,Lift arrived at floor 4,Up,2
80,5,Lift arrived at floor 5,Up,2
90,6,Lift arrived at floor 6,Up,2
100,7,Lift arrived at floor 7,Up,2
110,8,Lift arrived at floor 8,Up,2
110,8,Lift updated state to Collecting,Up,2
115,8,Passenger ID 4 collection completed,Up,"2,4"
115,8,Lift updated state to Collecting,Up,"2,4"
120,8,Passenger ID 5 collection completed,Up,"2,4,5"
120,8,Lift updated state to Collecting,Up,"2,4,5"
125,8,Passenger ID 6 collection completed,Up,"2,4,5,6"
125,8,Lift updated state to Collecting,Up,"2,4,5,6"
130,8,Passenger ID 7 collection completed,Up,"2,4,5,6,7"
130,8,Lift updated state to Collecting,Up,"2,4,5,6,7"
135,8,Passenger ID 8 collection completed,Up,"2,4,5,6,7,8"
135,8,Lift updated state to Collecting,Up,"2,4,5,6,7,8"
140,8,Passenger ID 12 collection completed,Up,"2,4,5,6,7,8,12"
140,8,Lift updated state to MovingUp,Up,"2,4,5,6,7,8,12"
150,9,Lift arrived at floor 9,Up,"2,4,5,6,7,8,12"
150,9,Lift updated state to Dropping,Up,"2,4,5,6,7,8,12"
155,9,Passenger ID 2 drop off completed,Up,"4,5,6,7,8,12"
155,9,Lift updated state to MovingUp,Up,"4,5,6,7,8,12"
165,10,Lift arrived at floor 10,Up,"4,5,6,7,8,12"
165,10,Lift updated state to Dropping,Up,"4,5,6,7,8,12"
170,10,Passenger ID 4 drop off completed,Up,"5,6,7,8,12"
170,10,Lift updated state to Dropping,Up,"5,6,7,8,12"
175,10,Passenger ID 7 drop off completed,Up,"5,6,8,12"
175,10,Lift updated state to Collecting,Up,"5,6,8,12"
180,10,Passenger ID 3 collection completed,Up,"5,6,8,12,3"
180,10,Lift updated state to MovingDown,Down,"5,6,8,12,3"
190,9,Lift arrived at floor 9,Down,"5,6,8,12,3"
190,9,Lift updated state to Collecting,Down,"5,6,8,12,3"
195,9,Passenger ID 16 collection completed,Down,"5,6,8,12,3,16"
195,9,Lift updated state to MovingDown,Down,"5,6,8,12,3,16"
